id,value
wa,0.007712975398797954
thi,0.007698912231141723
like,0.006806837383068609
good,0.006741955560906606
hope,0.0053767761539432295
look,0.005361876464978145
im,0.0050977716419511295
dont,0.005096968163879076
post,0.004779074765696339
know,0.004431313567566177
pretti,0.004288338297702754
got,0.00424865567613879
hi,0.004071686476428866
sure,0.004031400101934747
think,0.003956801228709026
whi,0.0037415575387981723
thank,0.0037229124085534845
say,0.0037063899638548003
nice,0.0036826005229199273
right,0.003668273301774729
realli,0.0036679723215624817
http,0.0036219491718947204
time,0.0036141286850027285
work,0.003599094406796191
great,0.0034294696049840426
ha,0.003426178603584151
didnt,0.00339923817397081
fuck,0.0033653414483455295
onli,0.0032780460104971563
come,0.0031951712592156326
ani,0.0031181244308150866
wow,0.0030155790642958295
point,0.0029559723630595775
ive,0.0029248749899908394
help,0.0029106810957777863
year,0.0028977269488674844
peopl,0.0028904889499870795
love,0.0028719037717331937
look like,0.0028585005781560278
use,0.002845119579857409
becaus,0.002816681706412773
thing,0.0028141828699883254
need,0.0027964849732218435
want,0.002730172939602344
doe,0.0027165900608158806
way,0.002716570722802768
trump,0.002688444011413794
tri,0.002579562550761366
end,0.002578161708773112
day,0.0025611383885979816
